name,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
"The Sleeping Beauty, Suite, Op.66a, TH 234: 2. Pas d'action: Rose Adagio",Pyotr Ilyich Tchaikovsky,53uc971drfYBCb09f7LILw,0.149,0.293,3,-14.837,1,0.0373,0.945,0.869,0.0642,0.124,84.694,343000,4,classical
Partita (For Violin And Orchestra): 1. Allegro giusto,Witold Lutosławski,3q7jklOySBvS5rQ7tBhWK1,0.308,0.129,10,-22.057,0,0.0486,0.883,0.0643,0.0754,0.0834,89.459,254400,4,classical
Etude No. 9,Philip Glass,7lvuhPLyPCsZqqC5nowJHo,0.289,0.25,5,-20.109,0,0.0372,0.99,0.882,0.112,0.039,144.783,211267,3,classical
"The Mausoleum at Halicarnassus - From ""Seven Wonders"" Suite",Stuart Mitchell,1ald8DqzpfzDTKo8tvYfkN,0.0854,0.0411,11,-27.974,0,0.0427,0.948,0.768,0.0802,0.0526,74.814,463582,4,classical
"Trumpet Tune in C Major, ZT 697 (Arr. for Brass Ensemble and Organ)",Henry Purcell,5na2XeQ1Rd1fIEw3g0bM9o,0.252,0.0967,2,-22.288,1,0.0369,0.758,0.867,0.113,0.105,99.439,159493,4,classical
Firework,Dallas String Quartet,5Y2g2734P6TcuJJmDwz9QO,0.592,0.551,9,-3.809,0,0.0286,0.826,0.452,0.16,0.591,127.938,222053,4,classical
Apollon musagète (1947 Version): 8. Pas de deux (Apollo And Terpsichore),Igor Stravinsky,1dM0Vwlr2uP3TYYq76IDI6,0.0993,0.0154,0,-34.797,1,0.0375,0.942,0.47,0.064,0.0764,88.646,235000,4,classical
D Flat Major Nocturne,Rosey Chan,3PBqzLiQCnJUPn5PxrHa5a,0.295,0.0568,1,-23.118,1,0.0353,0.986,0.938,0.102,0.0382,95.28,338813,3,classical
Gnossienne No. 1,Cyrus Chestnut,5mjFeu4fGH6RgpklX4vAAs,0.549,0.0464,10,-23.564,0,0.0346,0.907,0.873,0.111,0.35,116.366,416694,4,classical
"Bunte Reihe, S. 484/R. 149: Gondellied in F Major",Franz Liszt,1ZcHPbjKEXiMcujCOlflXG,0.308,0.00881,5,-33.708,1,0.0387,0.996,0.887,0.0644,0.1,65.689,206333,4,classical
"Boccherini: String Quintet in E Major, G. 282, Op. 13 No. 6: III. Minuetto - Trio",Luigi Boccherini,6e85fziCk6MwZUxWyG6Ijm,0.501,0.0358,9,-26.147,1,0.0293,0.961,0.58,0.142,0.43,85.189,237720,4,classical
"""Take Her to Sea, Mr. Murdoch""",James Horner,0N6TuzP1jXjTT6gJO1tyFN,0.184,0.115,7,-22.466,1,0.038,0.757,0.972,0.102,0.0396,129.124,271227,4,classical
"An der schönen blauen Donau, Walzer, Op. 314",Johann Strauss II,5431KRbZtVF3tVgMR1lIYS,0.207,0.0854,2,-19.104,1,0.042,0.976,0.923,0.0663,0.138,199.771,622227,3,classical
Notturno (Loverly),Akira Rabelais,42w6JAxB7llX7yIZJp6p8k,0.143,0.000651,5,-35.942,1,0.0535,0.987,0.98,0.0961,0.0165,138.04,551052,3,classical
The Way of the Ghost,Ilan Eshkeri,0AnsIh2o4sa9p8pHJOi9oI,0.171,0.162,7,-15.387,0,0.0432,0.709,0.921,0.149,0.0368,114.473,254880,4,classical
Scheherazade: The Tale of the Kalendar Prince,Nikolai Rimsky-Korsakov,04eShjKTWijeJJqGnhxpYK,0.151,0.0639,11,-24.404,0,0.0439,0.962,0.603,0.466,0.0797,61.577,200360,3,classical
Guitar Suite No. 2: II. Serenata,Inocente Carreño,1IsKX8UHybts7ESOZUfdqL,0.298,0.0115,4,-35.504,0,0.0377,0.99,0.94,0.088,0.178,67.006,196933,3,classical
Ma fin est mon commencement,Jackson Hill,1kyseHKmQnsg8j9f7qkiBW,0.206,0.101,8,-22.341,0,0.0386,0.985,0.0241,0.15,0.0374,129.093,378600,3,classical
Midwayer,Joep Beving,6gLsyO69WqFXUYJK5mCaOt,0.326,0.0735,0,-24.975,1,0.0419,0.991,0.873,0.0481,0.0875,135.209,345800,3,classical
Towards the Horizon: III. Atmospheric Disturbances,Martin Boykan,1FJIeVkkDcJbsvZLNzOJNu,0.391,0.188,4,-21.741,1,0.0422,0.986,0.828,0.115,0.122,100.698,129453,3,classical
My Friend the Forest,Nils Frahm,6Rkp6fEsvOTR7YxsW5uNyR,0.396,0.0012,3,-38.004,0,0.0671,0.994,0.944,0.112,0.296,79.932,368669,1,classical
Hymn,Karl Jenkins,4f6gLxR8DHTkZgpMXOnSnf,0.497,0.0102,5,-29.95,1,0.0505,0.994,0.889,0.13,0.315,133.437,152920,4,classical
Rise,Peter Sandberg,0P9iHoMjt1UlJfdcijOBHZ,0.435,0.034,5,-30.207,1,0.0465,0.992,0.934,0.0932,0.142,140.199,190291,4,classical
"Guitar Sonata No. 2 in C Major, Op. 15b",Fernando Sor,439qr6AOTPPKgOB3Um0ujo,0.39,0.191,7,-21.557,1,0.0458,0.91,0.877,0.0754,0.411,129.028,366120,4,classical
Silouans Song,Arvo Pärt,2xPwUJ02U0lAPPIrF5Nr8Z,0.0602,0.103,5,-19.285,0,0.0475,0.914,0.629,0.0919,0.0345,43.827,332839,4,classical
Manon Lescaut / Act 2: Intermezzo,Giacomo Puccini,7sHqiCvIAmbeCDRp1GudSt,0.0644,0.077,4,-19.871,1,0.0459,0.957,0.6,0.127,0.0357,63.164,315360,4,classical
The Avengers,Alan Silvestri,2exOqFZpfHpQE8E870qz1A,0.25,0.553,7,-8.188,1,0.0429,0.606,0.673,0.145,0.226,118.985,123360,4,classical
"Cello Concerto No. 1 in E-Flat Major, Op. 107: I. Allegretto",Dmitri Shostakovich,6EqhcN9dBaiorJy7zpcfJH,0.525,0.298,5,-17.56,0,0.0419,0.923,0.865,0.0948,0.393,125.442,369000,4,classical
"Rage Over A Lost Penny, Op.129",Ludwig van Beethoven,3QnU25Zw23qOUugdtTWgsY,0.303,0.193,7,-19.428,1,0.0334,0.99,0.909,0.0887,0.322,79.845,373665,4,classical
"Poème, Op. 25",Ernest Chausson,5fS5VeE4k5HcMv2HmH2lnx,0.187,0.118,10,-18.747,1,0.0587,0.972,0.0491,0.083,0.035,72.489,884453,4,classical
Timber Hearth,Andrew Prahlow,3BIf974vl0lIEo3EY1XvD1,0.428,0.314,3,-10.131,1,0.0308,0.766,0.901,0.0835,0.102,96.213,204957,3,classical
"Piano Concerto No. 20 in D Minor, K. 466: III. Rondo. Allegro assai (Cadenza Beethoven)",Wolfgang Amadeus Mozart,3KbebxGfHcdbJzZXqtdOlJ,0.352,0.29,2,-15.492,0,0.0374,0.982,0.928,0.118,0.21,139.274,452547,4,classical
"Rossini: Tancredi, Act 1: ""Oh patria!... Tu che accendi questo core... Di tanti palpiti"" (Tancredi)",Gioachino Rossini,4dE0YDyMRnZg6Xr4TpqWj1,0.275,0.0433,5,-24.994,1,0.052,0.982,3.34e-06,0.148,0.0396,168.477,535227,3,classical
Litany of Godly Love,Nicholas Lens,6NVsBgexl5jkyOjoP5KPQm,0.289,0.155,6,-16.029,1,0.0456,0.943,0.0107,0.111,0.0737,112.636,284707,4,classical
"Nocturne No. 9 in B Major, Op. 32 No. 1",Frédéric Chopin,5UpQqGyhYg70rRXgPuy28o,0.314,0.0231,11,-28.419,1,0.0461,0.992,0.881,0.134,0.0677,88.478,311400,4,classical
"Sonata In E, Kk.380: Andante commodo",Domenico Scarlatti,0pqwGhJTVAWOiwVJ5pFnqQ,0.364,0.0469,11,-27.621,1,0.0487,0.99,0.93,0.142,0.223,88.03,299000,4,classical
"Symphony No. 6 in F Major, Op. 68 ""Pastoral"": I. Awakening of Cheerful Feelings Upon Arrival in the Country: Allegro ma non troppo",Ludwig van Beethoven,408VC5UfnAh3Uhl0RQpbkA,0.302,0.0355,0,-24.074,1,0.0363,0.932,0.304,0.043,0.186,115.104,716933,4,classical
"Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 13 Waltz of the Flowers",Pyotr Ilyich Tchaikovsky,0CJuLeZpCdqrqoCMXWZw8k,0.15,0.128,2,-20.46,1,0.0459,0.944,0.93,0.0703,0.113,46.771,415813,3,classical
San Miguel,Jordan Seigel,2ro1HWV6SK7r6c6PhRSEpj,0.542,0.0404,7,-25.142,1,0.0313,0.968,0.955,0.108,0.107,135.998,94348,4,classical
Out Of Blue,Clint Mansell,6jWAQNlfoScyyDijaa7uVO,0.146,0.143,2,-19.2,0,0.0324,0.978,0.829,0.117,0.173,81.018,122810,4,classical
"Beethoven: Symphony No. 6 in F Major, Op. 68 ""Pastoral"": I. Erwachen heiterer Empfindungen bei der Ankunft auf dem Lande. Allegro ma non troppo",Ludwig van Beethoven,5UbN3fe9OB1p5KwjgUAHD4,0.247,0.0383,5,-22.76,1,0.0363,0.955,0.714,0.108,0.136,108.252,758267,4,classical
"Children's Corner, L.113: IV. The Snow Is Dancing",Claude Debussy,4tNK9SgXXnnIPZTPJ8nRsh,0.253,0.00877,10,-36.467,0,0.0369,0.99,0.922,0.0839,0.0382,127.961,147787,4,classical
Concierto de Aranjuez: Adagio,Miles Davis,5snEgy8RMnkJZqfwqD6svi,0.257,0.0851,5,-22.028,1,0.0399,0.935,0.582,0.349,0.0392,107.62,980507,4,classical
Thinking Out Loud,The Piano Guys,3QZGwiUYq1X8hJKwY5kxMP,0.38,0.145,2,-16.665,1,0.0326,0.988,0.869,0.11,0.188,135.548,232636,4,classical
En nacelle,Henrique Oswald,0OG8MAiXcyIZd4Ol92zmk7,0.429,0.0234,6,-29.753,1,0.0489,0.995,0.957,0.0962,0.0751,116.163,165693,4,classical
"Debussy: Piano Trio in G Major, L. 5: III. Andante espressivo",Claude Debussy,7ipHx0jgei0eK8xn3xoKIL,0.122,0.0963,0,-21.942,1,0.0375,0.962,0.666,0.166,0.133,83.662,227333,4,classical
I Giorni,Ludovico Einaudi,0VLascXUZ2Ze2u5kUD5J1f,0.277,0.0314,2,-30.21,1,0.0545,0.992,0.943,0.0712,0.0495,131.571,411080,3,classical
"Piano Concerto No. 1 in B-Flat Minor, Op. 23: I. Allegro non troppo e molto maestoso – Allegro con spirito",Pyotr Ilyich Tchaikovsky,1Xy6MHSaX3IUGGqst6RzYM,0.212,0.119,1,-20.511,1,0.0366,0.976,0.907,0.087,0.0396,84.346,1252322,3,classical
Van den Budenmayer: Concerto en mi mineur - SBI 152 - Version de 1798,Zbigniew Preisner,3JdOSTOiYTtmOccvcVNH2j,0.206,0.253,4,-13.719,0,0.0429,0.828,0.677,0.0987,0.0392,103.463,270507,3,classical
"Quintet in A Major for Clarinet and Strings, K. 581: II. Larghetto",Endres Quartet,2OdM7OEeVMcklHMiS47eba,0.095,0.0445,2,-23.086,1,0.0479,0.982,0.88,0.106,0.0481,74.48,421059,4,classical
Shostakovich: Fugue No. 7 In A Major,Dmitri Shostakovich,4ZIYqwSH9aQj0Ua3jnhZsf,0.221,0.0937,9,-26.025,1,0.0466,0.991,0.9,0.0567,0.172,79.031,163387,4,classical
"36 Caprices, Op. 20: V. Allegro molto",Luigi Legnani,6YK8qzDITS09tS68lFlc99,0.416,0.202,2,-24.09,1,0.0438,0.993,0.952,0.127,0.677,147.603,85173,4,classical
Dirt Music Theme,Craig Armstrong,20zApfduWjF2ixzykYAtsf,0.0881,0.122,0,-15.24,1,0.0382,0.565,0.932,0.127,0.0381,83.616,336480,3,classical
"The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": III. Allegro",Antonio Vivaldi,2984y5zSeyH2VJCcgMkA0S,0.481,0.114,0,-20.787,1,0.0366,0.912,0.468,0.0868,0.218,140.373,208387,3,classical
Story of You,Josh Kramer,2NYXYakw0PmjrRr91V3jk3,0.385,0.12,1,-19.77,0,0.0489,0.975,0.947,0.0966,0.458,135.726,139316,3,classical
Henry V: Henry V: Touch her soft lips and part,William Walton,5WEmDvDiRpE7p3y8SMMAPJ,0.146,0.019,0,-31.365,1,0.0476,0.92,0.878,0.0864,0.0492,81.526,93840,3,classical
Luminosity: I. Lux in tenebris,James Whitbourn,10OrFPGqkstf3sSlRYnWRY,0.158,0.072,2,-19.82,1,0.0503,0.955,0.912,0.124,0.0357,137.881,415547,5,classical
"Allegro de Concierto, Op. 46",Enrique Granados,7tTGH3yp7nDwUgF0jALOQk,0.243,0.267,1,-15.528,1,0.0441,0.993,0.931,0.17,0.0423,72.245,473173,3,classical
"Concerto Per Oboe, Archi E Continuo In Re Minore: II. Adagio",Alessandro Marcello,4CdihuKAMhRGLua1uYPb4i,0.143,0.0149,1,-29.215,0,0.0417,0.988,0.827,0.0748,0.116,79.22,194800,4,classical
"Les Troyens: Act V, No. 38 - “Vallon Sonore”",Hector Berlioz,6TrMyihTNbTPJ8qBejNtQB,0.118,0.0382,7,-24.471,0,0.0512,0.962,0.00809,0.114,0.0399,78.237,335200,4,classical
"Flute Concerto in A Major, Badley A1: III. Allegro",Leopold Hofmann,1lh4fSEqyPkdF4IjSgJkdW,0.309,0.124,9,-18.028,1,0.0517,0.968,0.368,0.138,0.528,181.212,265000,4,classical
Plague Tale,Olivier Deriviere,6M8tbJM72TgAKXcxXTgtxQ,0.0689,0.108,7,-18.538,0,0.0392,0.729,0.481,0.125,0.0659,75.713,136093,4,classical
"Cello Sonata in G Minor, Op. 65: III. Largo",Frédéric Chopin,3zrcDZ9hPNkZuq20pxPb9o,0.152,0.00957,10,-31.787,1,0.039,0.984,0.88,0.0987,0.0742,89.348,204520,3,classical
"Go The Distance - From ""Hercules""",Royal Philharmonic Orchestra,0O3o5L6SHXCjYvE5KY72bl,0.156,0.249,2,-13.835,1,0.0342,0.825,0.864,0.298,0.106,84.753,262093,4,classical
"Karelia Suite, Op. 11: II. Ballade",Jean Sibelius,1raqSylur44QhswyqNsBxh,0.0959,0.00665,9,-32.248,0,0.0487,0.97,0.238,0.0549,0.0661,88.202,550800,4,classical
Air on a G String,Johann Sebastian Bach,0mD1a7haZKdX9I0oPywrMb,0.109,0.314,2,-11.27,1,0.039,0.982,0.895,0.108,0.0557,172.773,289640,3,classical
"24 Studies, Op. 35, ""Exercises"": Study No. 17 in D Major",Fernando Sor,36RCsOzDM2cPkSL6Gotr16,0.282,0.018,2,-30.0,1,0.065,0.994,0.948,0.0865,0.542,79.036,104733,4,classical
"Elgar: Violin Concerto in B Minor, Op. 61: II. Andante",Edward Elgar,1yTugNsntY7Ba2umORynv8,0.11,0.0415,10,-29.035,1,0.0445,0.938,0.552,0.345,0.0366,91.679,805960,4,classical
Piano Sonata No. 9: II. Lento,Anis Fuleihan,13N9Wd7JX346ZZqUwTxkwo,0.328,0.00348,11,-36.985,0,0.0583,0.989,0.912,0.0644,0.266,75.039,248880,5,classical
"String Quartet No. 1 in D Major, Op. 11: II. Andante cantabile",Pyotr Ilyich Tchaikovsky,0bsfVvHZyPpLNFKW1RmZSW,0.163,0.0105,10,-31.658,1,0.0506,0.948,0.117,0.107,0.0396,88.794,395000,3,classical
"Variations on a Norwegian Folktune, Op. 31: I fjol gjaett'e gjeitinn",Johan Svendsen,722VEAitQPDKYkTe3UDlZK,0.138,0.0509,4,-22.513,1,0.0431,0.941,0.926,0.109,0.0372,87.037,335093,4,classical
Drop the Game (Piano Arrangement),The Theorist,74XiL7qOPpqY1jOItswAWr,0.357,0.219,9,-14.903,0,0.0551,0.985,0.872,0.0935,0.05,74.953,250175,4,classical
Many Mothers,Junkie XL,5DNKinr5rMPyVuVjyQYIm6,0.13,0.12,9,-15.312,0,0.0404,0.95,0.932,0.104,0.0344,98.89,315710,3,classical
"10 Preludes, Op. 23: No. 4 in D Major: Andante cantabile",Sergei Rachmaninoff,1eDakTwjrRye994xVnQXAE,0.189,0.00371,2,-36.368,1,0.0359,0.987,0.937,0.102,0.0737,69.082,314640,3,classical
"Variations & Fugue on a Theme of Beethoven, Op. 86 (Version for 2 Pianos): Fuga: Allegro con spirito",Max Reger,4DhtjvJxWkRdZlmX1bnHqg,0.407,0.212,10,-21.541,1,0.0373,0.991,0.879,0.0993,0.382,88.213,333293,4,classical
Les Baricades Mistérieuses (6e ordre),François Couperin,1Q9JMojxHHF6JbEJAKJLgj,0.191,0.0946,10,-25.59,1,0.0365,0.99,0.933,0.101,0.348,110.502,100347,4,classical
Sun Burst,Christopher Dicker,4VWzleChE2O0hOED8WSwN8,0.38,0.0466,3,-22.267,1,0.0441,0.982,0.943,0.111,0.175,140.729,143773,3,classical
Stabat Mater (excerpt) - Alternate Version,The London Metropolitan Ensemble,6WuIVj9gYbIUWxx3Okglsg,0.246,0.075,5,-18.365,0,0.0414,0.923,0.899,0.121,0.042,120.905,173160,4,classical
"String Quartet No. 14 in C-Sharp Minor, Op. 131: 7. Allegro",Ludwig van Beethoven,6TkybP6S8d65RwddN4C6kD,0.419,0.157,1,-16.158,0,0.0467,0.96,0.581,0.0869,0.287,129.619,399160,4,classical
"Symphony No. 4 in A Major, Op. 90 ""Italian"": Symphony No. 4 in A Major, Op. 90 ""Italian"": I. Allegro vivace",Felix Mendelssohn,4Zr5jJrDKBXfncsnKYcske,0.327,0.155,9,-19.635,1,0.0435,0.906,0.785,0.101,0.245,76.117,610293,4,classical
"Miniatures for Piano ""A Whole in Twelve"": No. 2, The Lady Plays",Mikael Ayrapetyan,7yoIfC6aoV6VRWZQPsA42S,0.358,0.00891,1,-28.903,1,0.0363,0.995,0.885,0.113,0.145,75.308,306373,4,classical
"Tod und Verklarung (Death and Transfiguration), Op. 24, TrV 158",Richard Strauss,0WRU1MhghbkLXVuEf1WnrY,0.0742,0.098,7,-20.025,1,0.0418,0.897,0.896,0.21,0.0324,80.095,1480000,3,classical
Due tramonti,Ludovico Einaudi,11vx4E3yHUOmVcnKYszD0J,0.0995,0.0619,2,-22.285,1,0.046,0.969,0.856,0.111,0.0596,174.263,292627,3,classical
Dance: II. Second Movement,Oliver Davis,2EifgBTEtl2LD4Rocka3ba,0.176,0.143,6,-21.009,0,0.0412,0.967,0.323,0.133,0.0888,85.368,188773,4,classical
"Piano Sonata No. 14 in C-sharp minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto",Ludwig van Beethoven,24t1mpJc8FTPAkYjFdf9NQ,0.141,0.00123,1,-43.851,0,0.0429,0.994,0.942,0.11,0.0843,78.155,313480,3,classical
Bridge and Love's Burning,Michael Giacchino,2XGCIInFfqseCXVRDN4QOG,0.242,0.0529,2,-23.756,1,0.0327,0.928,0.969,0.179,0.0513,69.787,170520,3,classical
Concerning Hobbits,Howard Shore,644es5aYPJghtZLjM1rmSP,0.488,0.0629,2,-21.524,1,0.0342,0.843,0.406,0.133,0.175,104.311,175040,4,classical
Night Wave - Julien Marchal Remix,Zeb Samuels,1UrTS3o13421j7Wq5EKJr0,0.288,0.00401,0,-37.546,1,0.0519,0.993,0.927,0.152,0.162,70.523,283777,4,classical
A Sea Of Love,Huerco S.,0VUgSdPuJjzGPpBe9OZNO7,0.141,0.116,10,-28.718,0,0.041,0.848,0.872,0.107,0.125,102.494,437907,4,classical
Three Postludes (1981/82): Postlude No. 3,Valentin Silvestrov,02H2meQsn2tcMNqx6NUZoC,0.0596,0.00121,2,-39.952,1,0.0559,0.987,0.262,0.0991,0.0383,62.51,255960,5,classical
"Klarinettenkonzert A-Dur, K. 622: 2. Adagio (Jenseits von Afrika): II. Adagio",Wolfgang Amadeus Mozart,4a2qoYY6xINDXtUOBFbJ6d,0.122,0.0182,2,-27.89,1,0.0383,0.967,0.834,0.0735,0.0473,77.59,477733,3,classical
"Deux Arabesques, L. 66: I. Andantino con moto",Claude Debussy,7DXc54rtHRhCIViAy4s5VW,0.411,0.0547,4,-23.349,1,0.0465,0.994,0.942,0.0945,0.0998,70.427,407700,4,classical
The Sacred Veil: XII. Child of Wonder,Eric Whitacre,1BnIyDcFO8GeHYFkD3jy7V,0.0643,0.0459,0,-23.053,0,0.0448,0.984,0.896,0.0865,0.0348,66.379,294240,3,classical
Cats: Memory,Andrew Lloyd Webber,1AknYHqHuT681UxyHi1BlQ,0.25,0.0224,7,-27.378,1,0.0506,0.99,0.937,0.101,0.138,94.884,240680,4,classical
"Don Giovanni, K.527: Overture",Wolfgang Amadeus Mozart,02GgkjgUsnDcgQCL0JQfG3,0.39,0.174,2,-14.469,1,0.0373,0.869,0.866,0.112,0.306,129.147,368960,4,classical
"Romance in F Minor, Op. 11, B. 39",Antonín Dvořák,1AqIpEIBsY12yb43XPAYHi,0.189,0.0489,1,-26.203,1,0.0473,0.933,0.431,0.121,0.0399,82.129,734707,4,classical
"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scène (Moderato)",Pyotr Ilyich Tchaikovsky,2xizRhme7pYeITbH1NLLGt,0.136,0.164,4,-18.756,0,0.0364,0.911,0.916,0.109,0.071,58.303,166867,4,classical
"Intermezzo, Op. 119/1",Johannes Brahms,2jFZ0dmpDE2Lmlc90k3eFK,0.422,0.0105,2,-32.46,1,0.0499,0.994,0.908,0.0852,0.101,65.099,244853,4,classical
"Music for Strings, Percussion and Celesta, BB 114: II. Allegro",Béla Bartók,67nERYyvMwe3dUQZXpUvDo,0.386,0.124,11,-22.869,0,0.044,0.945,0.917,0.0853,0.319,142.307,443907,4,classical
Uti vår hage,Hugo Alfvén,27g77QGL1kbylCs5xmcgm2,0.254,0.024,5,-34.324,0,0.0478,0.992,0.0021,0.0935,0.106,128.417,149013,3,classical
"Rondo in A Minor, K. 511",Wolfgang Amadeus Mozart,2kAdK72mjmKiAxfAMGgXBU,0.346,0.108,2,-22.473,0,0.0395,0.993,0.922,0.0813,0.158,129.55,602176,3,classical
"Violin Sonata in E Flat Major, Op. 18: I. Allegro, ma non troppo",Richard Strauss,2x27KFRNcDBu0Tfm5ougk5,0.241,0.117,3,-19.552,1,0.0409,0.986,0.144,0.149,0.0762,98.328,727107,3,classical
Elegy for Solo Viola,Igor Stravinsky,3KvJsi5NX1I8jGJwT53q5p,0.0799,0.0109,0,-25.298,0,0.0498,0.992,0.204,0.0896,0.0376,82.204,329493,3,classical
Carousel - Strings Version,John A. Nilson,3W1U17Hz2IVhMTUa1EB4I6,0.131,0.0666,7,-18.711,1,0.0365,0.955,0.962,0.105,0.0468,99.442,138167,4,classical
"Symphony No. 3 in C Minor, Op. 78 ""Organ"": Maestoso - Allegro",Camille Saint-Saëns,6LkMW4nSCKUVjDiiQxcCPh,0.276,0.385,0,-14.199,1,0.0471,0.919,0.921,0.656,0.157,103.868,491627,4,classical
Main Theme - Theme from ''The Great Escape'',Elmer Bernstein,0dgVmL9sYlZz5kLHuJgBe1,0.609,0.431,10,-10.373,1,0.0519,0.733,0.94,0.18,0.567,123.19,167293,4,classical
"Flying Theme - From ""E.T""",John Williams,2oDlOeEQIVRNxWHaTVGKHh,0.116,0.296,0,-14.185,1,0.038,0.848,0.856,0.0751,0.0542,75.615,245800,3,classical
Jupiter's Moons: Leda,Judith Lang Zaimont,5EN8Poad49hYD7pSSAsbHv,0.324,0.0622,7,-24.706,1,0.0425,0.98,0.888,0.0967,0.0353,82.609,296667,4,classical
